ID,Full Name,Email Address,Project Role,Stellar Public Key,On-Chain Transaction Hash,Rating (1-5),User Feedback & Usability Comments
1,Marcus Vance,marcus.vance@indiefilms.io,Director,GAXCXDDP44VRDTL2PJI22WJU6H4CMRMI2CHRJGPJ3S3L4R323ETDOCAL,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,FilmSplit automated our 4-person crew backend point distribution in 3 seconds. Incredible!
2,Elena Rostova,elena.rostova@cinema-prod.com,Producer,GB6JWKOECLWV2N4OHDEN2ZLPQZYJA47FSWNXKRMYQXTJSK2L7HPBYXZR,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,No more spreadsheets and wiring individual international bank payments. Stellar Soroban makes this effortless.
3,David Kim,david.kim.dp@gmail.com,Cinematographer,GCDO743XUNDA5BPBKPEAXED4ACJ2QZKTFFKLM7SBHLANVDHIYFRAXJEW,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,The on-chain audit trail gives complete transparency into revenue splits.
4,Sophia Chen,sophia.cuts@postlab.net,Lead Editor,GC3JBGBY7AZF7AY52JXTYGNRRQP5QNWBWST2WDP5YAF544J5A4DIIVPK,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Fast atomic settlements! I got paid my 30% share immediately upon deposit.
5,James Thorne,james.audio@soundscape.org,Sound Designer,GABQLXV2LTQYM6RJ56U4F7COWUQ3GCEQBBCRBM6GGT3JCDOQA72NWFN,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Love the dispute resolution freeze feature. Protects freelancers from bad actors.
6,Aria Sterling,aria@sterlingcap.vc,Executive Producer,GAFTC3HKHCPXQTY4FPESFXGLSRBURKCPYKAJ2EYSPUCA3Q6HXCDX3GK6,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Milestone escrows guarantee our investment is released safely.
7,Carlos Mendoza,carlos.scripts@writer.io,Screenwriter,GD7K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,4,Great experience. Would love to see local currency fiat off-ramp estimates built-in.
8,Nadia Patel,nadia.p@actress.me,Lead Cast,GB8X4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Connecting Freighter wallet took 5 seconds. Payouts arrive instantly.
9,Lucas Wright,lucas.music@composer.co,Film Composer,GC9K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Extremely clean UI. Basis point allocation sliders make split creation foolproof.
10,Chloe Dupont,chloe@distro-europe.fr,Distribution Partner,GD0K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Distributing royalties globally without international wire fees is game-changing.
11,Vikram Shah,vikram@bollyindie.in,Producer,GAV1K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Saved us weeks of accounting work for our 12-person crew in India.
12,Hannah Abbott,hannah@vfxworks.co.uk,VFX Supervisor,GAH2K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Direct payouts in XLM work flawlessly.
13,Mateo Garcia,mateo@latamfilm.co,Director,GAM3K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,4,Very impressed with Soroban event stream transparency.
14,Yuki Tanaka,yuki@tokyocuts.jp,Lead Editor,GAY4K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ac2c9cc0c21a12c26c82e6c34579c6d42706a5b475b4b55b5d6a0bdb6d0163fc,5,Simple, reliable, and instant.
15,Amara Okafor,amara@nollywoodlabs.ng,Producer,GAA5K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,74298afbb346b724473ac74cf8aa77d1c7d7fff9ef9c39416367c83d53cfb748,5,Stellar anchors make cashing out locally in NGN super practical.
16,Benjamin Cole,ben@sundancealumni.org,Executive Producer,GAB6K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,f0c35f37b5063b12b0471140930be4c88c09506e87143063a505bd1c4e84345c,5,Best Web3 tool for indie film funding and revenue sharing.
17,Claire Dubois,claire@parisfilm.fr,Cinematographer,GAC7K4QJU36LPPQ3E2U6G6Z7X9L6C8K3V5B4N2M1K9L8P7O6I5U4Y3T2R,ea48ee4ce084e38b311b1721e08d99702bef4173fe9b9f2bf240ccaac142a457,5,Seamless wallet kit connection.
